"";"zupanija_id";"rbr";"naziv_jls";"ukupni_prihodi_i_primici";"visak_prihoda_i_primitaka_preneseni";"manjak_prihoda_i_primitaka_preneseni";"ukupni_proracun_za_godinu";"porez_na_dobitke_od_igara_na_srecu";"pomoci_iz_inozemstva_i_od_subjekata_unutar_opce_drzave";"prihodi_od_imovine";"prihodi_od_administrativnih_pristojbi_i_po_posebnim_propisima";"ostali_prihodi";"primici_od_financijske_imovine_i_zaduzivanja";"decentralizacija";"zajednicki_kapit_proj_otoci";"ukupni_proracun_umanjen_za_decentralizaciju_vlastite_i_namjenske_prihode_te_primitke_od_zaduzivanja";"godina";"vrsta_jedinice";"zupanija";"oznaka_grop";"maticni_broj"
"1";1;1;"DUGO SELO";45544405;0;2281657;43262748;0;1832143;2156389;11000171;0;0;0;0;28274045;2016;"grop";"ZAGREBAÈKA";"GRAD";"01015"
"2";1;2;"IVANIÆ-GRAD";57134209;0;2580859;54553350;0;3304626;1539768;16261367;187000;6744297;3538142;0;22978150;2016;"grop";"ZAGREBAÈKA";"GRAD";"01589"
"3";1;3;"JASTREBARSKO";49656130;2727247;0;52383377;0;2629123;3299178;14210546;203663;1514033;0;0;30526834;2016;"grop";"ZAGREBAÈKA";"GRAD";"01694"
"4";1;4;"SAMOBOR";227818944;798088;0;228617032;0;43555925;4415822;31143367;239997;23289976;10869180;0;115102765;2016;"grop";"ZAGREBAÈKA";"GRAD";"03808"
"5";1;5;"SVETA NEDELJA";80115523;12004093;0;92119616;0;1017684;2177403;13952553;478213;0;0;0;74493763;2016;"grop";"ZAGREBAÈKA";"GRAD";"04367"
"6";1;6;"SVETI IVAN ZELINA";34187865;0;416243;33771622;0;2205486;1915076;8050172;146103;317429;0;0;21137356;2016;"grop";"ZAGREBAÈKA";"GRAD";"04294"
"7";1;7;"VELIKA GORICA";247929929;0;4704698;243225231;0;20542597;14605644;37601469;509920;2294689;17083979,98;0;150586932,02;2016;"grop";"ZAGREBAÈKA";"GRAD";"05410"
"8";1;8;"VRBOVEC";33737395;0;1885553;31851842;0;4028614;990832;6880873;402006;1586;4016736,0034;0;15531194,9966;2016;"grop";"ZAGREBAÈKA";"GRAD";"05088"
"9";1;9;"ZAPREŠIÆ";140942938;0;9330151;131612787;0;1932614;6064784;31479052;705456;15605105;6859930;0;68965846;2016;"grop";"ZAGREBAÈKA";"GRAD";"05436"
"10";1;10;"BISTRA";23633363;3631166;0;27264529;0;1863033;667440;6392739;2356376;0;0;0;15984941;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"05479"
"11";1;11;"BRCKOVLJANI";12617642;4909816;0;17527458;0;596105;694525;4642820;0;0;0;0;11594008;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"00337"
"12";1;12;"BRDOVEC";30763597;1884831;0;32648428;0;1176885;670824;5593467;144848;1e+06;0;0;24062404;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"00345"
"13";1;13;"DUBRAVA";8304618;841778;0;9146396;0;2521523;547720;1232100;0;0;0;0;4845053;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"00973"
"14";1;14;"DUBRAVICA";3022200;1110250;0;4132450;0;546199;62610;519209;10635;0;0;0;2993797;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"05495"
"15";1;15;"FARKAŠEVAC";2687088;270419;0;2957507;0;913330;263992;630752;0;0;0;0;1149433;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"01147"
"16";1;16;"GRADEC";6323399;0;224158;6099241;0;2183861;437766;625681;0;0;0;0;2851933;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"01350"
"17";1;17;"JAKOVLJE";9536430;0;186800;9349630;0;591114;2631445;1333146;24019;0;0;0;4769906;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"01635"
"18";1;18;"KLINÈA SELA";12290813;2114635;0;14405448;0;1493046;355710;1338622;82000;0;0;0;11136070;2016;"grop";"ZAGREBAÈKA";"OPÆINA";"01902"
